Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       8/475692      set_grid [127]
                0.00    0.01   14884/475692      gdump_content [88]
                0.00    0.26  460800/475692      compute_vorticity [29]
[34]     3.1    0.00    0.27  475692         dxdxprim [34]
                0.20    0.07  475692/475693      dxdxp_numerical [33]
-----------------------------------------------
                0.15    0.09 2738656/2738656     vchar [30]
[35]     2.8    0.15    0.09 2738656         simplefast [35]
                0.09    0.00 5477312/5477312     raise_vec [49]
-----------------------------------------------
                0.23    0.00 1730736/1730736     flux_compute_general [10]
[36]     2.7    0.23    0.00 1730736         flux_compute [36]
-----------------------------------------------
                0.00    0.00   10000/11801260     bl2met2metp2v [115]
                0.01    0.00  840000/11801260     bsq_calc [70]
                0.03    0.00 1637240/11801260     current_doprecalc [43]
                0.17    0.00 9314020/11801260     get_state [27]
[37]     2.4    0.21    0.00 11801260         ucon_calc_rel4vel [37]
